,p1_x,p1_y,p1_c,p2_x,p2_y,p2_c
11-14_20-48-3.1_01_0045_2221,314,188,1,369,322,1
11-14_20-48-3.1_01_0152_3140,500,132,1,247,314,1
11-14_20-48-3.1_01_0369_5345,67,402,1,490,4,1
11-14_20-48-3.1_01_0446_6351,501,91,1,309,317,1
11-14_20-48-3.1_01_0552_7319,548,100,1,512,334,1
11-14_20-48-3.1_01_0777_9470,378,358,1,469,360,1
11-14_20-48-3.1_01_0787_9559,225,396,1,395,341,1
11-14_20-48-3.1_01_1335_16044,254,376,1,410,340,1
11-14_20-48-3.1_01_1524_20658,283,43,1,334,49,1
11-14_21-48-6.7_03_0215_97339,267,299,1,491,403,1
11-14_21-48-6.7_03_0288_98082,312,369,1,269,312,1
11-14_21-48-6.7_03_0854_106549,188,327,1,331,388,1
11-14_23-48-18.1_07_0460_277364,363,376,1,398,389,1
11-14_23-48-18.1_07_0942_286876,162,293,1,101,302,1
11-14_23-48-18.1_07_1279_289802,282,355,1,503,170,1
11-15_0-48-38.1_09_1170_399113,268,431,1,119,317,1
11-15_0-48-38.1_09_1527_403281,283,369,1,438,392,1
11-15_0-48-38.1_09_1737_405870,138,417,1,240,397,1
11-16_21-0-9.5_03_0649_109639,353,331,1,543,419,1
11-17_21-29-11.76_03_0002_114928,465,375,1,543,462,1
11-17_21-29-11.76_03_0003_114981,465,375,1,543,462,1
11-17_21-29-11.76_03_0004_115153,465,375,1,543,462,1
11-18_3-59-36.76_16_0001_692154,205,430,1,,,
11-18_3-59-36.76_16_0003_692229,205,430,1,,,
